seed,d,kappa,theta,block,delta_t,lambda_min_symZ,gap_std,gap_acc
4,2,1.0,0.7853981633974483,16,4.812341999703992e-11,0.9999968521934381,1.3072898377697578e-10,7.409722761037539e-10
4,2,1.0,0.7853981633974483,17,6.791886745533246e-12,0.9999925778911906,3.408483520283428e-11,1.4973730693393941e-12
4,2,1.0,0.7853981633974483,18,3.349782543410553e-12,0.9999217941954348,8.886755248291989e-12,1.499130620649761e-10
4,2,1.0,0.7853981633974483,19,1.8599675978922975e-11,0.9999275124417727,2.3169480750149618e-12,1.167969327939229e-10
4,2,1.0,0.7853981633974483,20,1.2139060319326563e-10,0.9999654386432034,6.040191239597905e-13,2.418823484758183e-11
4,2,1.0,0.7853981633974483,21,6.856959455647288e-12,0.999999799591009,1.5743115124521815e-13,9.40289938023129e-16
4,2,1.0,0.7853981633974483,22,2.910809663307085e-11,0.9999996692917059,4.124395701954171e-14,3.7661373071139795e-12
4,2,1.0,0.7853981633974483,23,3.54963060248827e-11,0.9999997087563988,1.0767560686353364e-14,2.9672336627895707e-12
4,2,1.0,0.7853981633974483,24,1.1437799721869775e-09,0.9999998772733298,2.8047951139639703e-15,5.435711469687002e-13
4,2,1.0,0.7853981633974483,25,6.19721138716386e-11,0.9999995505399654,2.6875535514955787e-15,2.6560283814796477e-15
4,2,1.0,0.7853981633974483,26,2.0034673030939468e-10,0.9999966720325054,7.30773893373887e-16,1.383999418238377e-13
4,2,1.0,0.7853981633974483,27,1.2656000059019732e-10,0.9999969352561946,7.377987975178875e-16,1.0939778591391051e-13
4,2,1.0,0.7853981633974483,28,7.792602758170413e-09,0.999998556048008,1.639100735421187e-16,2.2580269847079432e-14
4,2,1.0,0.7853981633974483,29,3.2108838120906575e-10,1.0000000050728646,4.2977138180870465e-17,2.2777577046685804e-17
4,2,1.0,0.7853981633974483,30,4.894562052531092e-10,0.9999999774768022,1.1318797876582646e-17,4.689633739320125e-15
4,2,1.0,0.7853981633974483,31,1.6173794138556895e-09,0.999999983845741,2.998557637850399e-18,3.5134712974812543e-15
4,2,1.0,0.7853981633974483,32,8.99272694414147e-09,0.9999999951046632,7.950972751218162e-19,6.387113646444748e-16
4,2,1.0,0.7853981633974483,33,2.297727962894022e-09,0.9999999647679645,2.0518592495532329e-19,8.590643306229148e-18
4,2,1.0,0.7853981633974483,34,2.9082656530084433e-09,0.9999998370301738,5.0849687385778547e-20,1.9066958804261331e-16
4,2,1.0,0.7853981633974483,35,3.489652960762328e-09,0.999999855143773,8.65294510240057e-20,1.445915631578796e-16
4,2,1.0,0.7853981633974483,36,0.0009568668435472282,0.9999999346458749,1.2479156913704683e-19,2.855826837332792e-17
4,2,1.0,0.7853981633974483,37,4.731278568246268e-09,0.9999999993831645,1.3034463938426844e-19,9.83326462808897e-20
4,2,1.0,0.7853981633974483,38,1.1458077103430059e-08,1.0000000066313701,1.3094222567804972e-19,1.9340453831528924e-17
4,2,1.0,0.7853981633974483,39,1.2335661473935987e-08,0.9999999910128045,1.3093436746223047e-19,-4.0085345365067745e-17
4,2,1.0,0.7853981633974483,40,0.0009771053636798831,0.9999999962311399,1.3089466279282792e-19,2.9607734750350486e-18
5,2,1.0,0.7853981633974483,1,0.0,0.8662683701540135,0.0764655412452927,0.0764655412452927
5,2,1.0,0.7853981633974483,2,2.3649349050048884e-15,0.8903148804218595,0.020606538755812975,0.020606538755812892
5,2,1.0,0.7853981633974483,3,7.393614591095418e-15,0.9352735685044511,0.005364720146272442,0.0035090338720330655
5,2,1.0,0.7853981633974483,4,4.1123247717786085e-14,0.9781008319198006,0.0013698022440813765,0.00023903753995947394
5,2,1.0,0.7853981633974483,5,3.062149843262991e-14,1.0028781067972092,0.00034616423245315345,2.9493986886800806e-06
5,2,1.0,0.7853981633974483,6,6.330493199623455e-14,1.009846879628154,8.701416212728366e-05,2.6609353005016198e-05
5,2,1.0,0.7853981633974483,7,5.564403733249798e-14,1.0075068486284184,2.1813247405931546e-05,1.2474851313074888e-05
5,2,1.0,0.7853981633974483,8,3.820953027382216e-13,1.0029927577190183,5.4608111678820966e-06,1.6325526717318392e-06
5,2,1.0,0.7853981633974483,9,2.017322698588132e-13,0.9997973079951176,1.366142465401279e-06,6.0993492813512075e-09
5,2,1.0,0.7853981633974483,10,5.605800812453266e-13,0.9986064457706667,3.416532165869974e-07,2.410191033098627e-07
5,2,1.0,0.7853981633974483,11,6.004109235715503e-13,0.9988037067047996,8.542801286753584e-08,1.5085993773861564e-07
5,2,1.0,0.7853981633974483,12,7.22288166617558e-12,0.9994765277372086,2.1359083535806185e-08,2.483558923294972e-08
5,2,1.0,0.7853981633974483,13,1.4793641903799342e-12,1.0000211626156101,5.340031101878397e-09,3.230249860728795e-11
5,2,1.0,0.7853981633974483,14,7.189418347486009e-13,1.0002402014613305,1.3350402643601917e-09,4.1051298262128385e-09
5,2,1.0,0.7853981633974483,15,1.867464068731482e-12,1.0002164398495703,2.0318302702693604e-10,2.954986183805082e-09
5,2,1.0,0.7853981633974483,16,1.2012887283592445e-10,1.0001012526749364,3.0915578389266235e-11,5.188801601317054e-10
5,2,1.0,0.7853981633974483,17,1.310873909241389e-11,0.9999941028072787,4.703091043138142e-12,7.059241628308034e-13
5,2,1.0,0.7853981633974483,18,2.797053468407138e-12,0.9999428997946451,7.153675961521624e-13,5.927072936489123e-11
5,2,1.0,0.7853981633974483,19,2.2111001481365167e-11,0.9999597331135356,1.087595503468631e-13,2.6716142607240883e-11
5,2,1.0,0.7853981633974483,20,8.592727095862158e-11,0.9999901297598953,1.64616485785239e-14,1.4604718526227054e-12
5,2,1.0,0.7853981633974483,21,2.1906351025439735e-11,1.000005705408259,2.5477377404196924e-15,1.0081516350478082e-12
5,2,1.0,0.7853981633974483,22,6.660239345538508e-11,1.0000082158080745,4.140843647127795e-16,1.9208035070772346e-12
