seed,method,block,w2
4,acc,25,0.020421365275979042
5,std,0,1.036612629890442
5,acc,0,1.036612629890442
5,std,1,0.11076658964157104
5,acc,1,0.11076658964157104
5,std,2,0.029042420908808708
5,acc,2,0.029042420908808708
5,std,3,0.04230325669050217
5,acc,3,0.0420595183968544
5,std,4,0.030535973608493805
5,acc,4,0.030533049255609512
5,std,5,0.03912488371133804
5,acc,5,0.039362650364637375
5,std,6,0.02752617746591568
5,acc,6,0.02752549946308136
5,std,7,0.03742668405175209
5,acc,7,0.03731020912528038
5,std,8,0.03266379237174988
5,acc,8,0.03267943859100342
5,std,9,0.030084360390901566
5,acc,9,0.030420469120144844
5,std,10,0.03700026869773865
5,acc,10,0.03713050112128258
5,std,11,0.02762625366449356
5,acc,11,0.02780097723007202
5,std,12,0.02475851960480213
5,acc,12,0.02467278577387333
5,std,13,0.03155507892370224
5,acc,13,0.03182106092572212
5,std,14,0.035838522017002106
5,acc,14,0.03534843772649765
5,std,15,0.030093060806393623
5,acc,15,0.029843533411622047
5,std,16,0.040716007351875305
5,acc,16,0.04023224487900734
5,std,17,0.027965135872364044
5,acc,17,0.028360974043607712
5,std,18,0.03243418037891388
5,acc,18,0.03163258731365204
5,std,19,0.02271195314824581
5,acc,19,0.022582730278372765
5,std,20,0.025005241855978966
5,acc,20,0.02497720532119274
5,std,21,0.03677425533533096
5,acc,21,0.03605297952890396
5,std,22,0.03677414730191231
5,acc,22,0.03632093593478203
5,std,23,0.03549504280090332
5,acc,23,0.03487531468272209
5,std,24,0.026642462238669395
5,acc,24,0.026307862251996994
5,std,25,0.03416880965232849
5,acc,25,0.033454131335020065
6,std,0,1.0078563690185547
6,acc,0,1.0078563690185547
6,std,1,0.11462119221687317
6,acc,1,0.11462119221687317
6,std,2,0.04779988154768944
6,acc,2,0.04779988154768944
6,std,3,0.05420001596212387
6,acc,3,0.05321706831455231
6,std,4,0.04935766011476517
6,acc,4,0.04694999381899834
6,std,5,0.050787292420864105
6,acc,5,0.04681862145662308
6,std,6,0.03598560392856598
6,acc,6,0.03247459605336189
6,std,7,0.039678797125816345
6,acc,7,0.037368353456258774
6,std,8,0.045392442494630814
6,acc,8,0.04231588914990425
6,std,9,0.03738689795136452
6,acc,9,0.034163765609264374
6,std,10,0.04335605353116989
6,acc,10,0.03963201865553856
6,std,11,0.04464065656065941
6,acc,11,0.04148130491375923
6,std,12,0.040125273168087006
6,acc,12,0.036970775574445724
6,std,13,0.04158696159720421
6,acc,13,0.03843227028846741
6,std,14,0.03842507302761078
6,acc,14,0.03502165898680687
6,std,15,0.04770037531852722
6,acc,15,0.04412674158811569
6,std,16,0.03428030014038086
6,acc,16,0.031250618398189545
6,std,17,0.04540836811065674
6,acc,17,0.042866457253694534
6,std,18,0.03724740073084831
6,acc,18,0.033577147871255875
