arm,d,R,seed,method,blocks_1e-3,final_gap,sup_w2sq,mom_overhead_pct,spectral_gap,mono_violation,max_map_defect,slope_std,slope_acc
quantile-1d,1,4,49,std,76,9.641638438218081e-05,15.640190717585796,0.0,0.08755319616388338,,,,
quantile-1d,1,4,49,acc,20,4.7883936894255186e-05,15.640190717585796,1.2645365034210982,,0.0,1.5077953229553252e-16,,
quantile-1d,1,8,0,std,223,9.937059747899823e-05,39.502186006214735,0.0,0.02880319800219844,,,,
quantile-1d,1,8,0,acc,36,8.1503418245088e-05,39.502186006214735,1.3891149523082607,,0.16129032258064516,1.8088914127277205e-16,,
quantile-1d,1,8,1,std,215,9.903743137718024e-05,30.807817329698807,0.0,0.02878286806504364,,,,
quantile-1d,1,8,1,acc,35,5.810243153403505e-05,30.807817329698807,1.8044469553436664,,0.11290322580645161,1.8089689086126028e-16,,
quantile-1d,1,8,2,std,206,9.80962645664718e-05,25.183790280716156,0.0,0.028948433757889847,,,,
quantile-1d,1,8,2,acc,35,7.837413634570467e-05,25.183790280716156,0.7729784840449602,,0.18421052631578946,1.810916871401952e-16,,
quantile-1d,1,8,3,std,194,9.985030709636078e-05,20.32125039637916,0.0,0.02921569381383274,,,,
quantile-1d,1,8,3,acc,34,3.69102047348413e-05,20.32125039637916,0.6085178688762783,,0.1891891891891892,1.826259532135317e-16,,
quantile-1d,1,8,4,std,231,9.948148343585927e-05,52.12309494009451,0.0,0.0288191472177714,,,,
quantile-1d,1,8,4,acc,37,5.2503582885332634e-05,52.12309494009451,1.100855993917431,,0.19047619047619047,1.8089708080914794e-16,,
quantile-1d,1,8,5,std,226,9.960589322499658e-05,43.85641436910107,0.0,0.02879741317409237,,,,
quantile-1d,1,8,5,acc,36,8.842791267937855e-05,43.85641436910107,0.756625874233708,,0.1774193548387097,1.8088700231417066e-16,,
quantile-1d,1,8,6,std,219,9.911175006749318e-05,34.98255366104793,0.0,0.02880901433656525,,,,
quantile-1d,1,8,6,acc,36,7.019989282852634e-05,34.98255366104793,0.6070333428567902,,0.14516129032258066,1.8089274282847874e-16,,
quantile-1d,1,8,7,std,220,9.844781541179515e-05,35.58649740592517,0.0,0.02878473892328021,,,,
quantile-1d,1,8,7,acc,36,6.971269964983762e-05,35.58649740592517,1.0522080861346097,,0.14516129032258066,1.8089278677672838e-16,,
quantile-1d,1,8,8,std,206,9.867054477075143e-05,23.993482347972385,0.0,0.028818377871387517,,,,
quantile-1d,1,8,8,acc,35,8.781377190958395e-05,23.993482347972385,0.746991659942224,,0.15789473684210525,1.8089301625652587e-16,,
quantile-1d,1,8,9,std,230,9.965163547587252e-05,50.04353653879733,0.0,0.028814215290987516,,,,
quantile-1d,1,8,9,acc,37,5.09597072944068e-05,50.04353653879733,0.8001331666991662,,0.1746031746031746,1.8089766316477914e-16,,
quantile-1d,1,8,10,std,233,9.794257863005029e-05,54.735668599232255,0.0,0.028829455642488337,,,,
quantile-1d,1,8,10,acc,37,5.637479445530502e-05,54.735668599232255,1.9317282465112426,,0.19047619047619047,1.8089568122547826e-16,,
quantile-1d,1,8,11,std,196,9.946519929515674e-05,20.168267552433644,0.0,0.029059873121131462,,,,
quantile-1d,1,8,11,acc,34,4.560591965319105e-05,20.168267552433644,0.6444890464936299,,0.16216216216216217,1.815507049723769e-16,,
quantile-1d,1,8,12,std,202,9.831857233866259e-05,21.711675243475028,0.0,0.028855447985101815,,,,
quantile-1d,1,8,12,acc,35,8.028692477290988e-05,21.711675243475028,0.7252853568043746,,0.05405405405405406,1.8087866440409793e-16,,
