arm,d,R,seed,method,blocks_1e-3,final_gap,sup_w2sq,mom_overhead_pct,spectral_gap,mono_violation,max_map_defect,slope_std,slope_acc
quantile-1d,1,4,12,std,73,9.939852224061241e-05,12.208768800644217,0.0,0.08736628178613376,,,,
quantile-1d,1,4,12,acc,20,9.909864958945747e-05,12.208768800644217,1.096582642456586,,0.0,1.507637196111228e-16,,
quantile-1d,1,4,13,std,80,9.646148312514313e-05,25.717454267470806,0.0,0.08801038431497787,,,,
quantile-1d,1,4,13,acc,21,7.243736078699214e-05,25.717454267470806,0.8225454981256927,,0.11428571428571428,1.5076880950155811e-16,,
quantile-1d,1,4,14,std,80,9.286207394865187e-05,26.929293497917193,0.0,0.08809637049393672,,,,
quantile-1d,1,4,14,acc,21,7.893012434223579e-05,26.929293497917193,1.1745189096052975,,0.2,1.5076643331490235e-16,,
quantile-1d,1,4,15,std,79,9.551940241570023e-05,22.241071574377546,0.0,0.0878709317580909,,,,
quantile-1d,1,4,15,acc,20,6.444187095988596e-05,22.241071574377546,1.0002851814906828,,0.05714285714285714,1.5077200915445452e-16,,
quantile-1d,1,4,16,std,78,9.317696658195374e-05,20.86344631202203,0.0,0.08776147274517132,,,,
quantile-1d,1,4,16,acc,20,6.44854323024191e-05,20.86344631202203,1.5512416905958664,,0.05714285714285714,1.507720706421188e-16,,
quantile-1d,1,4,17,std,81,9.572299716831267e-05,27.99674943147317,0.0,0.08815906049668977,,,,
quantile-1d,1,4,17,acc,21,8.221244767092628e-05,27.99674943147317,1.7808593302563198,,0.2,1.5076529128665631e-16,,
quantile-1d,1,4,18,std,76,9.773495433718082e-05,16.070831957113878,0.0,0.0875513525102597,,,,
quantile-1d,1,4,18,acc,20,4.8030795002151905e-05,16.070831957113878,1.048016210417237,,0.0,1.5077942428961225e-16,,
quantile-1d,1,4,19,std,76,9.544778765313566e-05,15.893258961024163,0.0,0.08758812253455385,,,,
quantile-1d,1,4,19,acc,20,4.5522906451545e-05,15.893258961024163,1.050762532932162,,0.0,1.5078062167507094e-16,,
quantile-1d,1,4,20,std,75,9.798865387544708e-05,14.172892875539066,0.0,0.08747374546827834,,,,
quantile-1d,1,4,20,acc,20,4.446906942634499e-05,14.172892875539066,0.8957988182900629,,0.0,1.5078129895068113e-16,,
quantile-1d,1,4,21,std,80,9.560504771011225e-05,24.932142073525643,0.0,0.08800124952853175,,,,
quantile-1d,1,4,21,acc,21,7.282537755326501e-05,24.932142073525643,0.6657548843443853,,0.14285714285714285,1.5076870076836896e-16,,
quantile-1d,1,4,22,std,77,9.663768154011265e-05,17.00161317500598,0.0,0.08755100595235801,,,,
quantile-1d,1,4,22,acc,20,5.5742238870060135e-05,17.00161317500598,1.9548670864586495,,0.0,1.507759243085131e-16,,
quantile-1d,1,4,23,std,79,9.847215395630826e-05,22.917245088510434,0.0,0.08792121333298891,,,,
quantile-1d,1,4,23,acc,20,6.776719764145511e-05,22.917245088510434,2.1885510178981566,,0.11428571428571428,1.5077069157413075e-16,,
quantile-1d,1,4,24,std,76,9.682664283827691e-05,15.487078388194707,0.0,0.08752422700357161,,,,
quantile-1d,1,4,24,acc,20,4.91635957913239e-05,15.487078388194707,1.8629331590591864,,0.0,1.5077896098450016e-16,,
quantile-1d,1,4,25,std,74,9.229235270336034e-05,12.802612921594296,0.0,0.0874323146467847,,,,
quantile-1d,1,4,25,acc,20,4.3782618579069066e-05,12.802612921594296,1.3538260113296243,,0.0,1.5078181718120617e-16,,
quantile-1d,1,4,26,std,78,9.918829723742917e-05,19.838796004912933,0.0,0.08768882685538425,,,,
quantile-1d,1,4,26,acc,20,6.355912493116733e-05,19.838796004912933,1.7378691587592543,,0.02857142857142857,1.5077249911612995e-16,,
quantile-1d,1,4,27,std,80,9.515490730382936e-05,24.257501066017948,0.0,0.08789471629952823,,,,
quantile-1d,1,4,27,acc,21,7.3770226320935e-05,24.257501066017948,0.7635387095077371,,0.14285714285714285,1.5076838292422164e-16,,
quantile-1d,1,4,28,std,80,9.538278832366132e-05,25.339927086318927,0.0,0.08799060328794306,,,,
quantile-1d,1,4,28,acc,21,7.13249970880625e-05,25.339927086318927,1.4883744341156369,,0.11428571428571428,1.5076923538670698e-16,,
